epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
63,19191.7,0.05713,0.97562,0.9995,0.1144,3.17248e-05,3.17248e-05,3.17248e-05
64,19494,0.05878,0.97562,0.9995,0.11427,3.12191e-05,3.12191e-05,3.12191e-05
65,19796.1,0.05674,0.97662,0.9995,0.11454,3.07107e-05,3.07107e-05,3.07107e-05
66,20098.8,0.05906,0.97711,0.9995,0.11449,3.01998e-05,3.01998e-05,3.01998e-05
67,20400.1,0.0575,0.97711,0.9995,0.11472,2.96866e-05,2.96866e-05,2.96866e-05
68,20701,0.05231,0.97711,0.999,0.11601,2.91713e-05,2.91713e-05,2.91713e-05
69,21002.1,0.05206,0.97711,0.999,0.11717,2.86542e-05,2.86542e-05,2.86542e-05
70,21306.3,0.05155,0.97662,0.999,0.11742,2.81355e-05,2.81355e-05,2.81355e-05
71,21617,0.05009,0.97612,0.999,0.11784,2.76155e-05,2.76155e-05,2.76155e-05
72,21932.9,0.05013,0.97612,0.999,0.11858,2.70942e-05,2.70942e-05,2.70942e-05
73,22247.9,0.05029,0.97612,0.99851,0.11938,2.65721e-05,2.65721e-05,2.65721e-05
74,22556.6,0.04968,0.97612,0.999,0.12003,2.60493e-05,2.60493e-05,2.60493e-05
75,22855.7,0.04999,0.97562,0.999,0.1216,2.5526e-05,2.5526e-05,2.5526e-05
76,23163.5,0.04841,0.97512,0.999,0.12258,2.50025e-05,2.50025e-05,2.50025e-05
77,23466.3,0.04946,0.97463,0.999,0.12259,2.4479e-05,2.4479e-05,2.4479e-05
78,23754.7,0.04606,0.97413,0.999,0.12486,2.39557e-05,2.39557e-05,2.39557e-05
79,24049.1,0.0491,0.97413,0.999,0.12572,2.34329e-05,2.34329e-05,2.34329e-05
80,24342.3,0.04636,0.97413,0.999,0.12565,2.29108e-05,2.29108e-05,2.29108e-05
81,24636.1,0.04539,0.97413,0.999,0.12815,2.23895e-05,2.23895e-05,2.23895e-05
82,24929.9,0.04364,0.97413,0.999,0.12943,2.18695e-05,2.18695e-05,2.18695e-05
83,25212.5,0.04679,0.97363,0.999,0.12716,2.13508e-05,2.13508e-05,2.13508e-05
84,25516.9,0.0444,0.97313,0.999,0.12842,2.08337e-05,2.08337e-05,2.08337e-05
85,25812.7,0.04661,0.97264,0.999,0.12863,2.03184e-05,2.03184e-05,2.03184e-05
86,26105.9,0.04553,0.97214,0.999,0.12967,1.98052e-05,1.98052e-05,1.98052e-05
87,26393.2,0.04397,0.97214,0.999,0.13006,1.92943e-05,1.92943e-05,1.92943e-05
88,26680.6,0.04188,0.97164,0.999,0.1302,1.87859e-05,1.87859e-05,1.87859e-05
89,26965,0.04361,0.97264,0.999,0.13058,1.82802e-05,1.82802e-05,1.82802e-05
90,27249.3,0.04485,0.97363,0.999,0.13166,1.77774e-05,1.77774e-05,1.77774e-05
91,27537.1,0.04134,0.97363,0.999,0.13129,1.72778e-05,1.72778e-05,1.72778e-05
